company_id,company_name,broad_sector,year,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,free_cash_flow_cr,FCF_yield_pct,five_year_median_pe,sector_median_pe,PE_vs_sector_median_pct,valuation_flag
ADANIGREEN,Adani Green Energy Ltd,Energy,2023,449015.01,546204.41,9.89,6.92,25.56,4.31,3408.0,0.76,37.61,45.26,-78.15,Undervalued
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,2021,611152.14,782103.44,77.47,0.9,30.06,1.0,-6508.0,-1.06,48.9,48.9,58.43,Overvalued
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,2021,611152.14,782103.44,77.47,0.9,30.06,1.0,-6508.0,-1.06,48.9,48.9,58.43,Overvalued
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,2022,733808.16,915420.63,15.26,3.96,5.84,0.2,4927.0,0.67,48.9,48.9,-68.79,Undervalued
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,2022,733808.16,915420.63,15.26,3.96,5.84,0.2,4927.0,0.67,48.9,48.9,-68.79,Undervalued
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,2023,634603.85,774389.91,29.48,7.65,32.57,2.23,-4816.0,-0.76,48.9,48.9,-39.71,Undervalued
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,2023,634603.85,774389.91,29.48,7.65,32.57,2.23,-4816.0,-0.76,48.9,48.9,-39.71,Undervalued
ADANIPOWER,Adani Power Ltd,Energy,2019,1188256.85,1362538.77,27.22,4.37,35.21,0.06,4626.0,0.39,44.57,45.26,-39.86,Undervalued
AMBUJACEM,Ambuja Cements Ltd,Materials,2022,1157298.18,1368221.47,33.86,3.27,17.93,3.84,,,55.62,56.035,-39.57,Undervalued
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,2020,1275343.54,1525399.05,28.39,8.78,7.08,4.32,1004.0,0.08,47.72,47.06,-39.67,Undervalued
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,2021,1154138.06,1069918.55,11.18,6.7,8.4,3.35,385.0,0.03,47.72,47.06,-76.24,Undervalued
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,2023,1446203.76,1674544.0,17.38,12.98,28.27,3.2,520.0,0.04,47.72,47.06,-63.07,Undervalued
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,2019,1065817.17,1060968.11,30.34,5.08,33.21,0.45,1552.0,0.15,49.2,56.035,-45.86,Undervalued
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,2019,1065817.17,1060968.11,30.34,5.08,33.21,0.45,1552.0,0.15,49.2,56.035,-45.86,Undervalued
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,2020,1148763.92,1230363.26,13.27,6.46,22.97,0.29,2520.0,0.22,49.2,56.035,-76.32,Undervalued
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,2020,1148763.92,1230363.26,13.27,6.46,22.97,0.29,2520.0,0.22,49.2,56.035,-76.32,Undervalued
ATGL,Adani Total Gas Ltd,Energy,2019,1148243.4,1228379.56,21.14,0.81,10.15,4.39,,,31.800000000000004,45.26,-53.29,Undervalued
ATGL,Adani Total Gas Ltd,Energy,2020,1099356.08,1400593.18,22.78,14.0,27.91,0.51,,,31.800000000000004,45.26,-49.67,Undervalued
ATGL,Adani Total Gas Ltd,Energy,2022,1548060.05,1597088.78,74.55,14.11,6.42,0.07,,,31.800000000000004,45.26,64.71,Overvalued
ATGL,Adani Total Gas Ltd,Energy,2023,1644865.15,1868991.35,28.01,4.26,28.74,2.71,,,31.800000000000004,45.26,-38.11,Undervalued
AXISBANK,Axis Bank Ltd,Financials,2020,609012.03,554106.67,65.08,0.53,17.04,2.23,20931.0,3.44,47.88,32.9,97.81,Overvalued
AXISBANK,Axis Bank Ltd,Financials,2021,766941.69,947497.75,60.2,4.08,30.21,1.11,-41655.0,-5.43,47.88,32.9,82.98,Overvalued
AXISBANK,Axis Bank Ltd,Financials,2022,734196.42,821456.53,56.88,1.27,7.1,3.53,1025.0,0.14,47.88,32.9,72.89,Overvalued
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,2020,351288.98,435411.55,79.31,9.65,32.77,0.07,5616.0,1.6,49.41,29.91,165.16,Overvalued
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,2020,351288.98,435411.55,79.31,9.65,32.77,0.07,5616.0,1.6,49.41,29.91,165.16,Overvalued
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,2021,453226.79,580864.47,49.41,11.43,22.95,1.29,251.0,0.06,49.41,29.91,65.2,Overvalued
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,2021,453226.79,580864.47,49.41,11.43,22.95,1.29,251.0,0.06,49.41,29.91,65.2,Overvalued
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,2022,578373.58,658614.05,49.72,10.06,34.96,3.29,4473.0,0.77,49.41,29.91,66.23,Overvalued
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,2022,578373.58,658614.05,49.72,10.06,34.96,3.29,4473.0,0.77,49.41,29.91,66.23,Overvalued
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,2023,552671.87,600604.78,78.58,8.54,37.84,3.66,6488.0,1.17,49.41,29.91,162.72,Overvalued
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,2023,552671.87,600604.78,78.58,8.54,37.84,3.66,6488.0,1.17,49.41,29.91,162.72,Overvalued
BAJAJFINSV,Bajaj Finserv Ltd,Financials,2021,1489062.77,1474517.75,51.06,2.31,39.25,2.05,863.0,0.06,43.61,32.9,55.2,Overvalued
BAJAJFINSV,Bajaj Finserv Ltd,Financials,2022,1877835.72,2267409.89,59.39,12.5,8.52,3.05,-32225.0,-1.72,43.61,32.9,80.52,Overvalued
BAJAJFINSV,Bajaj Finserv Ltd,Financials,2023,1845750.3,2241384.41,76.89,13.57,9.02,1.66,-53425.0,-2.89,43.61,32.9,133.71,Overvalued
BAJAJFINSV,Bajaj Finserv Ltd,Financials,2024,1905112.17,1807796.2,15.07,6.08,39.72,2.56,-79634.0,-4.18,43.61,32.9,-54.19,Undervalued
BAJAJFINSV,Bajaj Finserv Ltd,Financials,2024,1905112.17,1807796.2,15.07,6.08,39.72,2.56,-79634.0,-4.18,43.61,32.9,-54.19,Undervalued
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,2019,1014477.55,1181797.59,76.88,9.04,7.28,2.22,465.0,0.05,37.73,32.9,133.68,Overvalued
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,2020,1365867.86,1440937.45,50.76,2.05,9.94,3.94,1120.0,0.08,37.73,32.9,54.29,Overvalued
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,2022,1394489.39,1728870.12,79.41,5.56,9.53,0.65,1459.0,0.1,37.73,32.9,141.37,Overvalued
BAJFINANCE,Bajaj Finance Ltd,Financials,2019,865823.64,997880.37,58.62,5.53,16.56,1.21,-34441.0,-3.98,54.84,32.9,78.18,Overvalued
BAJFINANCE,Bajaj Finance Ltd,Financials,2022,1422060.71,1789716.47,54.84,11.71,26.45,2.36,-30743.0,-2.16,54.84,32.9,66.69,Overvalued
BAJFINANCE,Bajaj Finance Ltd,Financials,2023,1896088.83,1920855.51,19.1,4.67,26.51,0.83,-52506.0,-2.77,54.84,32.9,-41.95,Undervalued
BAJFINANCE,Bajaj Finance Ltd,Financials,2024,2473271.58,2632574.41,69.2,4.11,15.96,0.27,-79931.0,-3.23,54.84,32.9,110.33,Overvalued
BAJFINANCE,Bajaj Finance Ltd,Financials,2024,2473271.58,2632574.41,69.2,4.11,15.96,0.27,-79931.0,-3.23,54.84,32.9,110.33,Overvalued
BANKBARODA,Bank of Baroda,Financials,2020,471014.36,436331.44,71.63,11.42,18.25,2.88,18392.0,3.9,51.62,32.9,117.72,Overvalued
BANKBARODA,Bank of Baroda,Financials,2021,426745.64,503995.99,67.24,12.42,14.95,1.19,-1358.0,-0.32,51.62,32.9,104.38,Overvalued
BANKBARODA,Bank of Baroda,Financials,2022,473985.89,610071.44,74.28,5.71,32.29,4.15,2565.0,0.54,51.62,32.9,125.78,Overvalued
BANKBARODA,Bank of Baroda,Financials,2024,590971.02,656699.32,16.89,4.15,24.7,2.62,-7559.0,-1.28,51.62,32.9,-48.66,Undervalued
BEL,Bharat Electronics Ltd,Industrials,2019,770752.45,926042.39,73.48,7.9,30.16,4.11,618.0,0.08,52.67,48.9,50.27,Overvalued
BEL,Bharat Electronics Ltd,Industrials,2023,1055965.69,1261553.4,18.0,12.66,25.88,4.22,3907.0,0.37,52.67,48.9,-63.19,Undervalued
BEL,Bharat Electronics Ltd,Industrials,2024,1354781.06,1259877.04,17.89,9.22,23.14,0.76,-1265.0,-0.09,52.67,48.9,-63.42,Undervalued
BEL,Bharat Electronics Ltd,Industrials,2024,1354781.06,1259877.04,17.89,9.22,23.14,0.76,-1265.0,-0.09,52.67,48.9,-63.42,Undervalued
BHARTIARTL,Bharti Airtel Ltd,Communication Services,2020,196241.62,219777.99,79.6,5.46,17.05,0.6,-11469.0,-5.84,63.78,48.33,64.7,Overvalued
BHARTIARTL,Bharti Airtel Ltd,Communication Services,2021,232971.76,269937.54,15.3,7.28,28.35,2.22,20919.0,8.98,63.78,48.33,-68.34,Undervalued
BHEL,"Bharat Heavy Electricals Limited
",Industrials,2022,452493.05,503418.0,23.85,9.42,38.85,0.56,-458.0,-0.1,31.13,48.9,-51.23,Undervalued
BHEL,"Bharat Heavy Electricals Limited
",Industrials,2023,499389.38,459759.51,31.13,9.5,34.44,3.29,739.0,0.15,31.13,48.9,-36.34,Undervalued
BHEL,"Bharat Heavy Electricals Limited
",Industrials,2024,540053.85,682460.17,29.8,11.43,21.59,4.04,-2382.0,-0.44,31.13,48.9,-39.06,Undervalued
BHEL,"Bharat Heavy Electricals Limited
",Industrials,2024,540053.85,682460.17,29.8,11.43,21.59,4.04,-2382.0,-0.44,31.13,48.9,-39.06,Undervalued
BOSCHLTD,Bosch Ltd,Consumer Discretionary,2019,1557190.4,1534921.24,56.11,11.21,30.98,2.27,2359.0,0.15,37.83,29.91,87.6,Overvalued
BOSCHLTD,Bosch Ltd,Consumer Discretionary,2024,2599556.05,2628370.51,58.43,6.47,16.07,4.23,1536.0,0.06,37.83,29.91,95.35,Overvalued
BOSCHLTD,Bosch Ltd,Consumer Discretionary,2024,2599556.05,2628370.51,58.43,6.47,16.07,4.23,1536.0,0.06,37.83,29.91,95.35,Overvalued
BPCL,Bharat Petroleum Corporation Ltd,Energy,2019,417435.04,439524.17,25.37,3.65,15.58,3.89,-294.0,-0.07,35.8,45.26,-43.95,Undervalued
BPCL,Bharat Petroleum Corporation Ltd,Energy,2021,522915.18,574282.97,12.13,1.78,14.21,1.65,20981.0,4.01,35.8,45.26,-73.2,Undervalued
BPCL,Bharat Petroleum Corporation Ltd,Energy,2022,547313.57,518390.47,24.26,4.29,7.37,1.47,12198.0,2.23,35.8,45.26,-46.4,Undervalued
BPCL,Bharat Petroleum Corporation Ltd,Energy,2024,468662.13,606487.07,68.15,0.72,26.59,1.15,25415.0,5.42,35.8,45.26,50.57,Overvalued
BPCL,Bharat Petroleum Corporation Ltd,Energy,2024,468662.13,606487.07,68.15,0.72,26.59,1.15,25415.0,5.42,35.8,45.26,50.57,Overvalued
BRITANNIA,Britannia Industries Ltd,Consumer Staples,2020,240748.04,291227.45,33.6,0.62,30.7,4.5,-41.0,-0.02,39.95,50.95,-34.05,Undervalued
BRITANNIA,Britannia Industries Ltd,Consumer Staples,2021,253493.14,328072.69,18.2,4.8,10.98,2.14,2309.0,0.91,39.95,50.95,-64.28,Undervalued
BRITANNIA,Britannia Industries Ltd,Consumer Staples,2023,285063.86,344785.02,25.49,4.57,25.98,4.06,1019.0,0.36,39.95,50.95,-49.97,Undervalued
CANBK,Canara Bank,Financials,2022,289660.96,292542.15,74.19,6.84,37.94,1.77,-510.0,-0.18,34.745000000000005,32.9,125.5,Overvalued
CANBK,Canara Bank,Financials,2023,384057.8,487866.93,55.56,0.63,19.01,4.1,-41134.0,-10.71,34.745000000000005,32.9,68.88,Overvalued
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,2019,1617575.24,1531662.97,18.46,1.7,37.73,2.14,-9328.0,-0.58,23.52,32.9,-43.89,Undervalued
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,2022,1050124.13,1182829.42,53.32,1.23,15.17,3.83,-3931.0,-0.37,23.52,32.9,62.07,Overvalued
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,2024,971931.96,1024979.49,16.79,10.36,13.52,2.83,-38538.0,-3.97,23.52,32.9,-48.97,Undervalued
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,2024,971931.96,1024979.49,16.79,10.36,13.52,2.83,-38538.0,-3.97,23.52,32.9,-48.97,Undervalued
CIPLA,"Cipla Ltd
",Healthcare,2020,316481.63,343801.04,26.77,7.27,32.2,0.71,3182.0,1.01,59.75,47.06,-43.12,Undervalued
CIPLA,"Cipla Ltd
",Healthcare,2021,288521.14,290750.43,76.56,11.34,5.68,1.8,1381.0,0.48,59.75,47.06,62.69,Overvalued
COALINDIA,Coal India Ltd,Materials,2020,231042.15,251887.58,23.41,11.71,16.21,0.79,6010.0,2.6,34.27,56.035,-58.22,Undervalued
COALINDIA,Coal India Ltd,Materials,2022,359749.33,344720.77,10.93,0.98,21.27,0.37,15392.0,4.28,34.27,56.035,-80.49,Undervalued
COALINDIA,Coal India Ltd,Materials,2023,397912.96,410248.34,32.17,9.72,10.71,3.45,12269.0,3.08,34.27,56.035,-42.59,Undervalued
COALINDIA,Coal India Ltd,Materials,2024,454024.84,574785.39,34.27,14.75,25.15,4.38,13617.0,3.0,34.27,56.035,-38.84,Undervalued
COALINDIA,Coal India Ltd,Materials,2024,454024.84,574785.39,34.27,14.75,25.15,4.38,13617.0,3.0,34.27,56.035,-38.84,Undervalued
DABUR,Dabur India Ltd,Consumer Staples,2019,55182.65,67689.73,11.83,8.9,33.07,2.52,1837.0,3.33,50.95,50.95,-76.78,Undervalued
DABUR,Dabur India Ltd,Consumer Staples,2020,48665.96,57298.27,12.36,12.35,6.51,0.62,1097.0,2.25,50.95,50.95,-75.74,Undervalued
DABUR,Dabur India Ltd,Consumer Staples,2021,48060.25,55430.1,78.3,2.21,9.99,1.66,711.0,1.48,50.95,50.95,53.68,Overvalued
DABUR,Dabur India Ltd,Consumer Staples,2022,60945.67,66241.38,31.16,8.64,14.12,1.81,529.0,0.87,50.95,50.95,-38.84,Undervalued
DIVISLAB,Divis Laboratories Ltd,Healthcare,2019,1011018.76,1179809.82,74.55,13.82,30.19,0.22,269.0,0.03,56.9,47.06,58.41,Overvalued
DIVISLAB,Divis Laboratories Ltd,Healthcare,2020,1300303.75,1512398.18,30.35,3.22,9.07,0.23,1133.0,0.09,56.9,47.06,-35.51,Undervalued
DIVISLAB,Divis Laboratories Ltd,Healthcare,2021,1595539.83,1586504.61,9.75,6.26,21.89,0.76,2022.0,0.13,56.9,47.06,-79.28,Undervalued
DIVISLAB,Divis Laboratories Ltd,Healthcare,2023,1318782.9,1394258.36,15.26,3.01,17.21,1.48,-248.0,-0.02,56.9,47.06,-67.57,Undervalued
DLF,DLF Ltd,Real Estate,2019,1162826.35,1104410.24,11.24,14.12,15.78,4.13,2046.0,0.18,46.26,49.105000000000004,-77.11,Undervalued
DLF,DLF Ltd,Real Estate,2022,1348234.63,1495730.62,16.81,4.75,14.05,3.78,3099.0,0.23,46.26,49.105000000000004,-65.77,Undervalued
DMART,Avenue Supermarts Ltd,Consumer Discretionary,2019,1847236.39,2290853.98,67.17,4.98,36.17,4.24,-151.0,-0.01,53.49,29.91,124.57,Overvalued
DMART,Avenue Supermarts Ltd,Consumer Discretionary,2021,2294356.77,2489455.16,14.9,12.05,11.12,0.52,265.0,0.01,53.49,29.91,-50.18,Undervalued
DMART,Avenue Supermarts Ltd,Consumer Discretionary,2022,2664977.29,2823430.83,12.31,5.66,32.01,2.77,83.0,0.0,53.49,29.91,-58.84,Undervalued
DMART,Avenue Supermarts Ltd,Consumer Discretionary,2023,2748638.95,2684655.9,53.49,13.37,27.62,3.66,317.0,0.01,53.49,29.91,78.84,Overvalued
DMART,Avenue Supermarts Ltd,Consumer Discretionary,2024,3053088.97,3624591.94,72.53,11.71,36.84,1.94,278.0,0.01,53.49,29.91,142.49,Overvalued
DMART,Avenue Supermarts Ltd,Consumer Discretionary,2024,3053088.97,3624591.94,72.53,11.71,36.84,1.94,278.0,0.01,53.49,29.91,142.49,Overvalued
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,2019,1574961.99,1965583.28,10.84,10.04,34.68,0.78,2101.0,0.13,11.73,47.06,-76.97,Undervalued
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,2020,1859862.32,2287596.96,28.73,6.38,24.93,2.34,2489.0,0.13,11.73,47.06,-38.95,Undervalued
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,2021,1617326.41,1519427.76,15.23,4.3,13.61,3.34,1315.0,0.08,11.73,47.06,-67.64,Undervalued
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,2022,1837884.76,2215736.28,13.03,7.54,16.33,3.82,246.0,0.01,11.73,47.06,-72.31,Undervalued
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,2023,2212619.5,2760692.84,11.34,10.95,23.9,3.71,1779.0,0.08,11.73,47.06,-75.9,Undervalued
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,2024,2441803.28,2725256.67,11.73,10.19,14.56,0.09,509.0,0.02,11.73,47.06,-75.07,Undervalued
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,2024,2441803.28,2725256.67,11.73,10.19,14.56,0.09,509.0,0.02,11.73,47.06,-75.07,Undervalued
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,2019,138608.74,143935.61,70.5,14.42,38.01,3.97,915.0,0.66,18.91,29.91,135.71,Overvalued
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,2020,179834.03,182640.02,18.91,9.77,22.08,0.44,186.0,0.1,18.91,29.91,-36.78,Undervalued
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,2021,213781.42,240534.88,70.14,9.33,25.09,1.98,66.0,0.03,18.91,29.91,134.5,Overvalued
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,2022,231181.84,296317.9,17.97,6.97,27.95,1.95,544.0,0.24,18.91,29.91,-39.92,Undervalued
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,2024,222391.83,234358.89,15.62,13.61,19.29,4.41,890.0,0.4,18.91,29.91,-47.78,Undervalued
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,2024,222391.83,234358.89,15.62,13.61,19.29,4.41,890.0,0.4,18.91,29.91,-47.78,Undervalued
GAIL,GAIL (India) Ltd,Energy,2019,665248.74,666947.87,13.48,0.96,26.22,1.4,2283.0,0.34,25.86,45.26,-70.22,Undervalued
GAIL,GAIL (India) Ltd,Energy,2020,712986.95,875162.11,25.86,4.98,34.59,2.22,46.0,0.01,25.86,45.26,-42.86,Undervalued
GAIL,GAIL (India) Ltd,Energy,2023,1135214.39,1121733.01,30.66,11.93,18.04,1.61,-4248.0,-0.37,25.86,45.26,-32.26,Undervalued
GAIL,GAIL (India) Ltd,Energy,2024,1531867.57,1613856.89,25.84,9.54,33.07,0.31,4360.0,0.28,25.86,45.26,-42.91,Undervalued
GAIL,GAIL (India) Ltd,Energy,2024,1531867.57,1613856.89,25.84,9.54,33.07,0.31,4360.0,0.28,25.86,45.26,-42.91,Undervalued
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,2019,807328.65,896565.06,26.5,4.95,21.35,4.17,2003.0,0.25,33.59,50.95,-47.99,Undervalued
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,2021,1140203.87,1473894.68,19.23,4.8,17.68,1.47,1738.0,0.15,33.59,50.95,-62.26,Undervalued
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,2024,1327797.2,1350416.57,33.59,8.07,23.55,3.09,-1365.0,-0.1,33.59,50.95,-34.07,Undervalued
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,2024,1327797.2,1350416.57,33.59,8.07,23.55,3.09,-1365.0,-0.1,33.59,50.95,-34.07,Undervalued
GRASIM,Grasim Industries Ltd,Industrials,2020,362884.74,445840.81,23.28,10.84,11.26,0.08,5256.0,1.45,56.71,48.9,-52.39,Undervalued
GRASIM,Grasim Industries Ltd,Industrials,2021,337446.27,354587.01,15.68,3.37,31.76,3.46,7929.0,2.35,56.71,48.9,-67.93,Undervalued
GRASIM,Grasim Industries Ltd,Industrials,2024,478951.82,601673.21,79.35,5.68,15.23,0.98,-33833.0,-7.06,56.71,48.9,62.27,Overvalued
GRASIM,Grasim Industries Ltd,Industrials,2024,478951.82,601673.21,79.35,5.68,15.23,0.98,-33833.0,-7.06,56.71,48.9,62.27,Overvalued
HAL,Hindustan Aeronautics Ltd,Industrials,2021,1800174.45,2098463.2,8.56,2.01,35.03,0.38,13934.0,0.77,56.05,48.9,-82.49,Undervalued
HAL,Hindustan Aeronautics Ltd,Industrials,2023,2122373.86,2704291.55,11.8,2.43,27.48,3.62,3102.0,0.15,56.05,48.9,-75.87,Undervalued
HAVELLS,Havells India Ltd,Industrials,2020,1749780.42,1713551.51,10.08,13.71,36.18,0.98,279.0,0.02,45.41,48.9,-79.39,Undervalued
HAVELLS,Havells India Ltd,Industrials,2021,2169908.17,1994561.94,28.52,9.54,31.71,0.05,-103.0,-0.0,45.41,48.9,-41.68,Undervalued
HAVELLS,Havells India Ltd,Industrials,2022,2198343.31,2166991.03,79.91,10.23,19.2,0.34,969.0,0.04,45.41,48.9,63.42,Overvalued
HCLTECH,HCL Technologies Ltd,Information Technology,2023,385586.15,451405.41,9.19,2.28,10.69,3.4,14436.0,3.74,63.63,60.515,-84.81,Undervalued
HDFCBANK,HDFC Bank Ltd,Financials,2019,578281.57,743657.34,63.58,0.79,38.51,3.49,-64375.0,-11.13,31.840000000000003,32.9,93.25,Overvalued
HDFCBANK,HDFC Bank Ltd,Financials,2021,573615.98,564871.82,11.64,8.0,17.14,2.44,40653.0,7.09,31.840000000000003,32.9,-64.62,Undervalued
HDFCBANK,HDFC Bank Ltd,Financials,2022,759039.45,726665.0,8.14,1.61,21.19,3.18,-14011.0,-1.85,31.840000000000003,32.9,-75.26,Undervalued
HDFCBANK,HDFC Bank Ltd,Financials,2024,808359.03,976938.14,49.42,4.4,22.54,4.33,35669.0,4.41,31.840000000000003,32.9,50.21,Overvalued
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,2019,33844.59,36530.23,53.97,3.58,37.6,2.89,-314.0,-0.93,50.59,32.9,64.04,Overvalued
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,2020,43616.06,44999.88,67.68,5.98,13.85,4.1,-401.0,-0.92,50.59,32.9,105.71,Overvalued
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,2022,33360.23,36651.77,61.1,11.85,10.53,1.89,5142.0,15.41,50.59,32.9,85.71,Overvalued
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,2024,47027.6,42921.31,50.59,11.28,31.63,3.22,-2893.0,-6.15,50.59,32.9,53.77,Overvalued
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,2024,47027.6,42921.31,50.59,11.28,31.63,3.22,-2893.0,-6.15,50.59,32.9,53.77,Overvalued
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,2019,959580.91,1068641.74,64.37,1.86,5.42,3.67,2330.0,0.24,56.18,29.91,115.21,Overvalued
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,2020,1157395.82,1232490.63,75.71,11.62,38.88,4.18,2699.0,0.23,56.18,29.91,153.13,Overvalued
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,2021,1262310.05,1517149.73,56.18,12.27,32.57,0.69,1821.0,0.14,56.18,29.91,87.83,Overvalued
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,2022,1220486.89,1228166.97,66.93,12.26,22.34,2.61,1882.0,0.15,56.18,29.91,123.77,Overvalued
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,2023,1542037.68,1580646.36,11.61,7.5,36.98,3.56,2193.0,0.14,56.18,29.91,-61.18,Undervalued
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,2024,1593400.88,1475343.49,53.86,12.6,28.27,1.91,3095.0,0.19,56.18,29.91,80.07,Overvalued
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,2024,1593400.88,1475343.49,53.86,12.6,28.27,1.91,3095.0,0.19,56.18,29.91,80.07,Overvalued
